"GEO_ID","id"
"NAME","Geographic Area Name"
"DP05_0001E","Estimate!!SEX AND AGE!!Total population"
"DP05_0001M","Margin of Error!!SEX AND AGE!!Total population"
"DP05_0001PE","Percent!!SEX AND AGE!!Total population"
"DP05_0001PM","Percent Margin of Error!!SEX AND AGE!!Total population"
"DP05_0002E","Estimate!!SEX AND AGE!!Total population!!Male"
"DP05_0002M","Margin of Error!!SEX AND AGE!!Total population!!Male"
"DP05_0002PE","Percent!!SEX AND AGE!!Total population!!Male"
"DP05_0002PM","Percent Margin of Error!!SEX AND AGE!!Total population!!Male"
"DP05_0003E","Estimate!!SEX AND AGE!!Total population!!Female"
"DP05_0003M","Margin of Error!!SEX AND AGE!!Total population!!Female"
"DP05_0003PE","Percent!!SEX AND AGE!!Total population!!Female"
"DP05_0003PM","Percent Margin of Error!!SEX AND AGE!!Total population!!Female"
"DP05_0004E","Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females)"
"DP05_0004M","Margin of Error!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females)"
"DP05_0004PE","Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females)"
"DP05_0004PM","Percent Margin of Error!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females)"
"DP05_0005E","Estimate!!SEX AND AGE!!Total population!!Under 5 years"
"DP05_0005M","Margin of Error!!SEX AND AGE!!Total population!!Under 5 years"
"DP05_0005PE","Percent!!SEX AND AGE!!Total population!!Under 5 years"
"DP05_0005PM","Percent Margin of Error!!SEX AND AGE!!Total population!!Under 5 years"
"DP05_0006E","Estimate!!SEX AND AGE!!Total population!!5 to 9 years"
"DP05_0006M","Margin of Error!!SEX AND AGE!!Total population!!5 to 9 years"
"DP05_0006PE","Percent!!SEX AND AGE!!Total population!!5 to 9 years"
"DP05_0006PM","Percent Margin of Error!!SEX AND AGE!!Total population!!5 to 9 years"
"DP05_0007E","Estimate!!SEX AND AGE!!Total population!!10 to 14 years"
"DP05_0007M","Margin of Error!!SEX AND AGE!!Total population!!10 to 14 years"
"DP05_0007PE","Percent!!SEX AND AGE!!Total population!!10 to 14 years"
"DP05_0007PM","Percent Margin of Error!!SEX AND AGE!!Total population!!10 to 14 years"
"DP05_0008E","Estimate!!SEX AND AGE!!Total population!!15 to 19 years"
"DP05_0008M","Margin of Error!!SEX AND AGE!!Total population!!15 to 19 years"
"DP05_0008PE","Percent!!SEX AND AGE!!Total population!!15 to 19 years"
"DP05_0008PM","Percent Margin of Error!!SEX AND AGE!!Total population!!15 to 19 years"
"DP05_0009E","Estimate!!SEX AND AGE!!Total population!!20 to 24 years"
"DP05_0009M","Margin of Error!!SEX AND AGE!!Total population!!20 to 24 years"
"DP05_0009PE","Percent!!SEX AND AGE!!Total population!!20 to 24 years"
"DP05_0009PM","Percent Margin of Error!!SEX AND AGE!!Total population!!20 to 24 years"
"DP05_0010E","Estimate!!SEX AND AGE!!Total population!!25 to 34 years"
"DP05_0010M","Margin of Error!!SEX AND AGE!!Total population!!25 to 34 years"
"DP05_0010PE","Percent!!SEX AND AGE!!Total population!!25 to 34 years"
"DP05_0010PM","Percent Margin of Error!!SEX AND AGE!!Total population!!25 to 34 years"
"DP05_0011E","Estimate!!SEX AND AGE!!Total population!!35 to 44 years"
"DP05_0011M","Margin of Error!!SEX AND AGE!!Total population!!35 to 44 years"
"DP05_0011PE","Percent!!SEX AND AGE!!Total population!!35 to 44 years"
"DP05_0011PM","Percent Margin of Error!!SEX AND AGE!!Total population!!35 to 44 years"
"DP05_0012E","Estimate!!SEX AND AGE!!Total population!!45 to 54 years"
"DP05_0012M","Margin of Error!!SEX AND AGE!!Total population!!45 to 54 years"
"DP05_0012PE","Percent!!SEX AND AGE!!Total population!!45 to 54 years"
"DP05_0012PM","Percent Margin of Error!!SEX AND AGE!!Total population!!45 to 54 years"
"DP05_0013E","Estimate!!SEX AND AGE!!Total population!!55 to 59 years"
"DP05_0013M","Margin of Error!!SEX AND AGE!!Total population!!55 to 59 years"
"DP05_0013PE","Percent!!SEX AND AGE!!Total population!!55 to 59 years"
"DP05_0013PM","Percent Margin of Error!!SEX AND AGE!!Total population!!55 to 59 years"
"DP05_0014E","Estimate!!SEX AND AGE!!Total population!!60 to 64 years"
"DP05_0014M","Margin of Error!!SEX AND AGE!!Total population!!60 to 64 years"
"DP05_0014PE","Percent!!SEX AND AGE!!Total population!!60 to 64 years"
"DP05_0014PM","Percent Margin of Error!!SEX AND AGE!!Total population!!60 to 64 years"
"DP05_0015E","Estimate!!SEX AND AGE!!Total population!!65 to 74 years"
"DP05_0015M","Margin of Error!!SEX AND AGE!!Total population!!65 to 74 years"
"DP05_0015PE","Percent!!SEX AND AGE!!Total population!!65 to 74 years"
"DP05_0015PM","Percent Margin of Error!!SEX AND AGE!!Total population!!65 to 74 years"
"DP05_0016E","Estimate!!SEX AND AGE!!Total population!!75 to 84 years"
"DP05_0016M","Margin of Error!!SEX AND AGE!!Total population!!75 to 84 years"
"DP05_0016PE","Percent!!SEX AND AGE!!Total population!!75 to 84 years"
"DP05_0016PM","Percent Margin of Error!!SEX AND AGE!!Total population!!75 to 84 years"
"DP05_0017E","Estimate!!SEX AND AGE!!Total population!!85 years and over"
"DP05_0017M","Margin of Error!!SEX AND AGE!!Total population!!85 years and over"
"DP05_0017PE","Percent!!SEX AND AGE!!Total population!!85 years and over"
"DP05_0017PM","Percent Margin of Error!!SEX AND AGE!!Total population!!85 years and over"
"DP05_0018E","Estimate!!SEX AND AGE!!Total population!!Median age (years)"
"DP05_0018M","Margin of Error!!SEX AND AGE!!Total population!!Median age (years)"
"DP05_0018PE","Percent!!SEX AND AGE!!Total population!!Median age (years)"
"DP05_0018PM","Percent Margin of Error!!SEX AND AGE!!Total population!!Median age (years)"
"DP05_0019E","Estimate!!SEX AND AGE!!Total population!!Under 18 years"
"DP05_0019M","Margin of Error!!SEX AND AGE!!Total population!!Under 18 years"
"DP05_0019PE","Percent!!SEX AND AGE!!Total population!!Under 18 years"
"DP05_0019PM","Percent Margin of Error!!SEX AND AGE!!Total population!!Under 18 years"
"DP05_0020E","Estimate!!SEX AND AGE!!Total population!!16 years and over"
"DP05_0020M","Margin of Error!!SEX AND AGE!!Total population!!16 years and over"
"DP05_0020PE","Percent!!SEX AND AGE!!Total population!!16 years and over"
"DP05_0020PM","Percent Margin of Error!!SEX AND AGE!!Total population!!16 years and over"
"DP05_0021E","Estimate!!SEX AND AGE!!Total population!!18 years and over"
"DP05_0021M","Margin of Error!!SEX AND AGE!!Total population!!18 years and over"
"DP05_0021PE","Percent!!SEX AND AGE!!Total population!!18 years and over"
"DP05_0021PM","Percent Margin of Error!!SEX AND AGE!!Total population!!18 years and over"
"DP05_0022E","Estimate!!SEX AND AGE!!Total population!!21 years and over"
"DP05_0022M","Margin of Error!!SEX AND AGE!!Total population!!21 years and over"
"DP05_0022PE","Percent!!SEX AND AGE!!Total population!!21 years and over"
"DP05_0022PM","Percent Margin of Error!!SEX AND AGE!!Total population!!21 years and over"
"DP05_0023E","Estimate!!SEX AND AGE!!Total population!!62 years and over"
"DP05_0023M","Margin of Error!!SEX AND AGE!!Total population!!62 years and over"
"DP05_0023PE","Percent!!SEX AND AGE!!Total population!!62 years and over"
"DP05_0023PM","Percent Margin of Error!!SEX AND AGE!!Total population!!62 years and over"
"DP05_0024E","Estimate!!SEX AND AGE!!Total population!!65 years and over"
"DP05_0024M","Margin of Error!!SEX AND AGE!!Total population!!65 years and over"
"DP05_0024PE","Percent!!SEX AND AGE!!Total population!!65 years and over"
"DP05_0024PM","Percent Margin of Error!!SEX AND AGE!!Total population!!65 years and over"
"DP05_0025E","Estimate!!SEX AND AGE!!Total population!!18 years and over"
"DP05_0025M","Margin of Error!!SEX AND AGE!!Total population!!18 years and over"
"DP05_0025PE","Percent!!SEX AND AGE!!Total population!!18 years and over"
"DP05_0025PM","Percent Margin of Error!!SEX AND AGE!!Total population!!18 years and over"
"DP05_0026E","Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male"
"DP05_0026M","Margin of Error!!SEX AND AGE!!Total population!!18 years and over!!Male"
"DP05_0026PE","Percent!!SEX AND AGE!!Total population!!18 years and over!!Male"
"DP05_0026PM","Percent Margin of Error!!SEX AND AGE!!Total population!!18 years and over!!Male"
"DP05_0027E","Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female"
"DP05_0027M","Margin of Error!!SEX AND AGE!!Total population!!18 years and over!!Female"
"DP05_0027PE","Percent!!SEX AND AGE!!Total population!!18 years and over!!Female"
"DP05_0027PM","Percent Margin of Error!!SEX AND AGE!!Total population!!18 years and over!!Female"
"DP05_0028E","Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)"
"DP05_0028M","Margin of Error!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)"
"DP05_0028PE","Percent!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)"
"DP05_0028PM","Percent Margin of Error!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)"
"DP05_0029E","Estimate!!SEX AND AGE!!Total population!!65 years and over"
"DP05_0029M","Margin of Error!!SEX AND AGE!!Total population!!65 years and over"
"DP05_0029PE","Percent!!SEX AND AGE!!Total population!!65 years and over"
"DP05_0029PM","Percent Margin of Error!!SEX AND AGE!!Total population!!65 years and over"
"DP05_0030E","Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male"
"DP05_0030M","Margin of Error!!SEX AND AGE!!Total population!!65 years and over!!Male"
"DP05_0030PE","Percent!!SEX AND AGE!!Total population!!65 years and over!!Male"
"DP05_0030PM","Percent Margin of Error!!SEX AND AGE!!Total population!!65 years and over!!Male"
"DP05_0031E","Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female"
"DP05_0031M","Margin of Error!!SEX AND AGE!!Total population!!65 years and over!!Female"
"DP05_0031PE","Percent!!SEX AND AGE!!Total population!!65 years and over!!Female"
"DP05_0031PM","Percent Margin of Error!!SEX AND AGE!!Total population!!65 years and over!!Female"
"DP05_0032E","Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)"
"DP05_0032M","Margin of Error!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)"
"DP05_0032PE","Percent!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)"
"DP05_0032PM","Percent Margin of Error!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)"
"DP05_0033E","Estimate!!RACE!!Total population"
"DP05_0033M","Margin of Error!!RACE!!Total population"
"DP05_0033PE","Percent!!RACE!!Total population"
"DP05_0033PM","Percent Margin of Error!!RACE!!Total population"
"DP05_0034E","Estimate!!RACE!!Total population!!One race"
"DP05_0034M","Margin of Error!!RACE!!Total population!!One race"
"DP05_0034PE","Percent!!RACE!!Total population!!One race"
"DP05_0034PM","Percent Margin of Error!!RACE!!Total population!!One race"
"DP05_0035E","Estimate!!RACE!!Total population!!Two or more races"
"DP05_0035M","Margin of Error!!RACE!!Total population!!Two or more races"
"DP05_0035PE","Percent!!RACE!!Total population!!Two or more races"
"DP05_0035PM","Percent Margin of Error!!RACE!!Total population!!Two or more races"
"DP05_0036E","Estimate!!RACE!!Total population!!One race"
"DP05_0036M","Margin of Error!!RACE!!Total population!!One race"
"DP05_0036PE","Percent!!RACE!!Total population!!One race"
"DP05_0036PM","Percent Margin of Error!!RACE!!Total population!!One race"
"DP05_0037E","Estimate!!RACE!!Total population!!One race!!White"
"DP05_0037M","Margin of Error!!RACE!!Total population!!One race!!White"
"DP05_0037PE","Percent!!RACE!!Total population!!One race!!White"
"DP05_0037PM","Percent Margin of Error!!RACE!!Total population!!One race!!White"
"DP05_0038E","Estimate!!RACE!!Total population!!One race!!Black or African American"
"DP05_0038M","Margin of Error!!RACE!!Total population!!One race!!Black or African American"
"DP05_0038PE","Percent!!RACE!!Total population!!One race!!Black or African American"
"DP05_0038PM","Percent Margin of Error!!RACE!!Total population!!One race!!Black or African American"
"DP05_0039E","Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native"
"DP05_0039M","Margin of Error!!RACE!!Total population!!One race!!American Indian and Alaska Native"
"DP05_0039PE","Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native"
"DP05_0039PM","Percent Margin of Error!!RACE!!Total population!!One race!!American Indian and Alaska Native"
"DP05_0040E","Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping"
"DP05_0040M","Margin of Error!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping"
"DP05_0040PE","Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping"
"DP05_0040PM","Percent Margin of Error!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping"
"DP05_0041E","Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping"
"DP05_0041M","Margin of Error!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping"
"DP05_0041PE","Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping"
"DP05_0041PM","Percent Margin of Error!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping"
"DP05_0042E","Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping"
"DP05_0042M","Margin of Error!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping"
"DP05_0042PE","Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping"
"DP05_0042PM","Percent Margin of Error!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping"
"DP05_0043E","Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping"
"DP05_0043M","Margin of Error!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping"
"DP05_0043PE","Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping"
"DP05_0043PM","Percent Margin of Error!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping"
"DP05_0044E","Estimate!!RACE!!Total population!!One race!!Asian"
"DP05_0044M","Margin of Error!!RACE!!Total population!!One race!!Asian"
"DP05_0044PE","Percent!!RACE!!Total population!!One race!!Asian"
"DP05_0044PM","Percent Margin of Error!!RACE!!Total population!!One race!!Asian"
"DP05_0045E","Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian"
"DP05_0045M","Margin of Error!!RACE!!Total population!!One race!!Asian!!Asian Indian"
"DP05_0045PE","Percent!!RACE!!Total population!!One race!!Asian!!Asian Indian"
"DP05_0045PM","Percent Margin of Error!!RACE!!Total population!!One race!!Asian!!Asian Indian"
"DP05_0046E","Estimate!!RACE!!Total population!!One race!!Asian!!Chinese"
"DP05_0046M","Margin of Error!!RACE!!Total population!!One race!!Asian!!Chinese"
"DP05_0046PE","Percent!!RACE!!Total population!!One race!!Asian!!Chinese"
"DP05_0046PM","Percent Margin of Error!!RACE!!Total population!!One race!!Asian!!Chinese"
"DP05_0047E","Estimate!!RACE!!Total population!!One race!!Asian!!Filipino"
"DP05_0047M","Margin of Error!!RACE!!Total population!!One race!!Asian!!Filipino"
"DP05_0047PE","Percent!!RACE!!Total population!!One race!!Asian!!Filipino"
"DP05_0047PM","Percent Margin of Error!!RACE!!Total population!!One race!!Asian!!Filipino"
"DP05_0048E","Estimate!!RACE!!Total population!!One race!!Asian!!Japanese"
"DP05_0048M","Margin of Error!!RACE!!Total population!!One race!!Asian!!Japanese"
"DP05_0048PE","Percent!!RACE!!Total population!!One race!!Asian!!Japanese"
"DP05_0048PM","Percent Margin of Error!!RACE!!Total population!!One race!!Asian!!Japanese"
"DP05_0049E","Estimate!!RACE!!Total population!!One race!!Asian!!Korean"
"DP05_0049M","Margin of Error!!RACE!!Total population!!One race!!Asian!!Korean"
"DP05_0049PE","Percent!!RACE!!Total population!!One race!!Asian!!Korean"
"DP05_0049PM","Percent Margin of Error!!RACE!!Total population!!One race!!Asian!!Korean"
"DP05_0050E","Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese"
"DP05_0050M","Margin of Error!!RACE!!Total population!!One race!!Asian!!Vietnamese"
"DP05_0050PE","Percent!!RACE!!Total population!!One race!!Asian!!Vietnamese"
"DP05_0050PM","Percent Margin of Error!!RACE!!Total population!!One race!!Asian!!Vietnamese"
"DP05_0051E","Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian"
"DP05_0051M","Margin of Error!!RACE!!Total population!!One race!!Asian!!Other Asian"
"DP05_0051PE","Percent!!RACE!!Total population!!One race!!Asian!!Other Asian"
"DP05_0051PM","Percent Margin of Error!!RACE!!Total population!!One race!!Asian!!Other Asian"
"DP05_0052E","Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander"
"DP05_0052M","Margin of Error!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander"
"DP05_0052PE","Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander"
"DP05_0052PM","Percent Margin of Error!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander"
"DP05_0053E","Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian"
"DP05_0053M","Margin of Error!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian"
"DP05_0053PE","Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian"
"DP05_0053PM","Percent Margin of Error!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian"
"DP05_0054E","Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro"
"DP05_0054M","Margin of Error!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro"
"DP05_0054PE","Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro"
"DP05_0054PM","Percent Margin of Error!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro"
"DP05_0055E","Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan"
"DP05_0055M","Margin of Error!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan"
"DP05_0055PE","Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan"
"DP05_0055PM","Percent Margin of Error!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan"
"DP05_0056E","Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander"
"DP05_0056M","Margin of Error!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander"
"DP05_0056PE","Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander"
"DP05_0056PM","Percent Margin of Error!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander"
"DP05_0057E","Estimate!!RACE!!Total population!!One race!!Some other race"
"DP05_0057M","Margin of Error!!RACE!!Total population!!One race!!Some other race"
"DP05_0057PE","Percent!!RACE!!Total population!!One race!!Some other race"
